#subject_id,#image1,#image2,#image3,#image4,#image5,#image6,Date,From Hour,To Hour,Duration -,Location is
1,2020-01-02_000000_PICT0013.JPG,2020-01-02_000500_PICT0014.JPG,2020-01-02_001000_PICT0015.JPG,2020-01-02_001500_PICT0016.JPG,,,2020-01-02,00:00:00,00:15:00,0:15:00,road_1
2,2020-01-06_000100_PICT0026.JPG,2020-01-06_000500_PICT0045.JPG,2020-01-05_235900_PICT0025.JPG,,,,2020-01-05,23:59:00,00:05:00,0:06:00,road_1
3,2020-01-20_000500_PICT0049.JPG,2020-01-20_001000_PICT0050.JPG,,,,,2020-01-20,00:05:00,00:10:00,0:05:00,road_1
4,2020-02-01_000000_PICT0057.JPG,2020-02-01_000500_PICT0058.JPG,,,,,2020-02-01,00:00:00,00:05:00,0:05:00,road_1
5,2020-02-05_001000_PICT0061.JPG,2020-02-05_001500_PICT0062.JPG,,,,,2020-02-05,00:10:00,00:15:00,0:05:00,road_1
6,2020-02-07_235900_PICT0063.JPG,2020-02-08_000100_PICT0064.JPG,2020-02-08_000500_PICT0065.JPG,2020-02-08_000700_PICT0066.JPG,2020-02-08_000800_PICT0071.JPG,2020-02-08_001000_PICT0072.JPG,2020-02-07,23:59:00,00:10:00,0:11:00,road_1
